vin,year,make,model,trim,body,transmission,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
wbakg7c52ce802493,2012,BMW,3 Series,335i,Coupe,automatic,ca,28.0,39684.0,white,—,financial services remarketing (lease),29900.0,27000.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbafr7c55cc812104,2012,BMW,5 Series,535i,Sedan,automatic,ca,49.0,26828.0,black,black,financial services remarketing (lease),35800.0,39400.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbaxg5c52cdw85725,2012,BMW,5 Series,528i,Sedan,automatic,ca,45.0,27729.0,gray,gray,financial services remarketing (lease),30500.0,30500.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbaxg5c52cdx01695,2012,BMW,5 Series,528i,Sedan,automatic,ca,5.0,44205.0,black,black,financial services remarketing (lease),27200.0,28000.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wba3a5c54cf344167,2012,BMW,3 Series,328i,Sedan,automatic,ca,49.0,37574.0,white,—,financial services remarketing (lease),26800.0,30250.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbaxg5c59cdx01760,2012,BMW,5 Series,528i,Sedan,automatic,ca,48.0,19152.0,black,gray,financial services remarketing (lease),32100.0,32000.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbaut9c53ca192224,2012,BMW,3 Series,328i,Wagon,automatic,ca,46.0,21414.0,white,tan,financial services remarketing (lease),25900.0,29250.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbaxg5c52cdw85319,2012,BMW,5 Series,528i,Sedan,automatic,ca,4.0,14747.0,black,black,financial services remarketing (lease),30600.0,29750.0,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
wbake5c53ce756358,2012,BMW,3 Series,328i,Coupe,automatic,ca,43.0,26316.0,gray,black,financial services remarketing (lease),22500.0,23250.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbakb4c56cc576497,2012,BMW,7 Series,740Li,Sedan,automatic,ca,48.0,29599.0,white,black,financial services remarketing (lease),40600.0,42250.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbalw3c55cc891908,2012,BMW,6 Series,640i,Coupe,automatic,ca,35.0,39295.0,black,black,financial services remarketing (lease),42300.0,41000.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbake3c51ce769937,2012,BMW,3 Series,328i,Coupe,automatic,ca,35.0,20760.0,black,gray,financial services remarketing (lease),23000.0,22250.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
wbaxg5c53cdx02919,2012,BMW,5 Series,528i,Sedan,automatic,ca,28.0,41474.0,gray,black,financial services remarketing (lease),27300.0,24000.0,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
wbaxg5c56cdw24930,2012,BMW,5 Series,528i,Sedan,automatic,ca,43.0,44959.0,white,tan,financial services remarketing (lease),26900.0,25750.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
wbadx7c50ce744845,2012,BMW,3 Series,335i,Convertible,automatic,ca,45.0,12423.0,black,black,financial services remarketing (lease),32900.0,34250.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbaxg5c51cdw85540,2012,BMW,5 Series,528i,Sedan,automatic,ca,4.0,27160.0,black,black,financial services remarketing (lease),29600.0,29000.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
wbakb4c5xcc576521,2012,BMW,7 Series,740Li,Sedan,automatic,ca,37.0,45238.0,black,black,financial services remarketing (lease),37300.0,36000.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbadx1c52ce825407,2012,BMW,3 Series,335is,Convertible,automatic,ca,46.0,35626.0,black,black,financial services remarketing (lease),35300.0,35500.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
wbaxg5c57cdw24533,2012,BMW,5 Series,528i,Sedan,automatic,ca,36.0,23644.0,gray,black,financial services remarketing (lease),30100.0,29750.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
